"<img src=""Front"">"	Thai	Phonetic	Translation	Grammar	Vocabulary	Audio	Module
"<img src=""Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h48m53s725ms-00h48m56s885ms.avif"">"	- เฮ้ย คุณ นี่มันจะมากไปละนะ ปล่อยผม - - มันไม่มากเกินไปหรอกเชฟ	- hə́əi khun nîi man jà mâak pai lá ná plɔ̀i phǒm - - man mâi mâak gəən pai rɔ̀ɔk chéep	-Hey, this is too much! Let me go! - -No, it's not.	มากไป vs ไม่มากเกินไป: "Too much" disputed. Disagreement about excess.		[sound:Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h48m53s725ms-00h48m56s885ms.ogg]	2.4
"<img src=""Hormones_S03E08_Episode 8.th.closedcaptions_00h26m37s560ms-00h26m40s960ms.avif"">"	หนูอาจจะอยู่กับดาว - มากเกินไปจนเข้าใจผิดก็ได้	nǔu àat jà yùu gàp daao - mâak gəən pai jon khâo jai phìt gɔ̂ɔ dâai	Maybe you two have spent too much time - together that you both misunderstood.	มากเกินไปจน: "Too much until". Excess leading to consequence.		[sound:Hormones_S03E08_Episode 8.th.closedcaptions_00h26m37s560ms-00h26m40s960ms.ogg]	2.4
"<img src=""Bad Guys_S01E06_Episode 6.th.closedcaptions_00h20m20s520ms-00h20m22s800ms.avif"">"	กูว่าไอ้เหี้ยพวกนั้นแม่งโวยวายมากเกินไปว่ะ	guu wâa âi hîa phûak nán mɛ̂ɛng wooi waai mâak gəən pai wâ	Yak, I think those bastards made - too much fuss over the increase.	โวยวายมากเกินไป: "Complain too much". Excessive reaction.	โวยวาย (wooi waai): complain/make fuss	[sound:Bad Guys_S01E06_Episode 6.th.closedcaptions_00h20m20s520ms-00h20m22s800ms.ogg]	2.4
"<img src=""Answer for Heaven_S01E18_Hope Part 2.th.closedcaptions_00h32m33s205ms-00h32m35s845ms.avif"">"	วันนั้นผมใช้อารมณ์มากเกินไปจริง ผมยอมรับ	wan nán phǒm chái aa-rom mâak gəən pai jing phǒm yɔɔm ráp	I did let my emotions - get the best of me, I admit.	ใช้อารมณ์มากเกินไป: "Too emotional". Admitting excess emotion.	ใช้อารมณ์ (chái aa-rom): be emotional	[sound:Answer for Heaven_S01E18_Hope Part 2.th.closedcaptions_00h32m33s205ms-00h32m35s845ms.ogg]	2.4
"<img src=""The Bride of Naga_S01E09_Episode 9.th.closedcaptions_00h17m18s079ms-00h17m21s040ms.avif"">"	ยานี้ถ้าเกิดว่าร่างกายได้รับมากเกินไป	yaa níi thâa gə̀ət wâa râang gaai dâai ráp mâak gəən pai	But if you take it too much,	ได้รับมากเกินไป: "Receive too much". Overdose warning.		[sound:The Bride of Naga_S01E09_Episode 9.th.closedcaptions_00h17m18s079ms-00h17m21s040ms.ogg]	2.4
"<img src=""The Love of Siam 2007 - H264 AAC.th.subtitles_02h16m56s280ms-02h16m59s200ms.avif"">"	ความรักมันไม่มีมากเกินไปหรอก	khwaam rák man mâi mii mâak gəən pai rɔ̀ɔk	that there's - no such thing as too much love.	ไม่มีมากเกินไป: "No such thing as too much". Love has no excess.		[sound:The Love of Siam 2007 - H264 AAC.th.subtitles_02h16m56s280ms-02h16m59s200ms.ogg]	2.4
"<img src=""Bangkok Buddies_S01E09_Episode 9.th.subtitles_00h30m09s840ms-00h30m12s120ms.avif"">"	ไม่ใช่ มันปุ๊บปั๊บมากเกินไป	mâi châi man púp páp mâak gəən pai	No, it was too sudden.	ปุ๊บปั๊บมากเกินไป: "Too sudden". Excessive speed/abruptness.	ปุ๊บปั๊บ (púp páp): sudden/abrupt	[sound:Bangkok Buddies_S01E09_Episode 9.th.subtitles_00h30m09s840ms-00h30m12s120ms.ogg]	2.4
"<img src=""The Underclass_S01E06_Sisters.th.subtitles_00h32m17s240ms-00h32m18s880ms.avif"">"	หวังดีกับคนอื่นมากเกินไป	wǎng dii gàp khon ɯ̀ɯn mâak gəən pai	about others	หวังดีมากเกินไป: "Too well-meaning". Excessive concern for others.	หวังดี (wǎng dii): mean well	[sound:The Underclass_S01E06_Sisters.th.subtitles_00h32m17s240ms-00h32m18s880ms.ogg]	2.4
"<img src=""Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h39m40s165ms-00h39m41s405ms.avif"">"	ผมใจดีมากเกินไป	phǒm jai dii mâak gəən pai	I'm too nice. - Do you think you can do anything?	ใจดีมากเกินไป: "Too nice". Self-criticism of excessive kindness.		[sound:Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h39m40s165ms-00h39m41s405ms.ogg]	2.4
"<img src=""Hunger 2023 - H265 AAC.th.closedcaptions_00h05m17s375ms-00h05m20s250ms.avif"">"	- [ไรเดอร์] ครับ เสร็จพอดี ขอบคุณครับ - - [ผู้หญิง 1] เฮ้ย โบ ไปเอาเส้นดิ๊	- [rai-dəə] khráp sèt phɔɔ dii khɔ̀ɔp khun khráp - - [phûu yǐng nɯ̀ng] hə́əi boo pai ao sên dí	-It's ready. Thanks. - -Bo, go get more noodles.	เสร็จพอดี (sèt phɔɔ dii): "Just finished". Perfect timing completion.		[sound:Hunger 2023 - H265 AAC.th.closedcaptions_00h05m17s375ms-00h05m20s250ms.ogg]	2.4
"<img src=""Let's Fight Ghost_S01E13_Episode 13.th.closedcaptions_00h21m41s120ms-00h21m44s640ms.avif"">"	[ภาษาใต้] แล้วจะข้ามรุ่นไปสู้กับ - ไอ้ปีศาจนั่น ม่องเท่งกันพอดี	[phaa-sǎa tâi] lɛ́ɛo jà khâam rûn pai sûu gàp - âi pìi-sàat nân mɔ̂ng thêng gan phɔɔ dii	If we go against the demon, - it will kill us all.	กันพอดี (gan phɔɔ dii): "Just right/exactly". Perfect match (here sarcastic).	ม่องเท่ง (mɔ̂ng thêng): die (Southern dialect)	[sound:Let's Fight Ghost_S01E13_Episode 13.th.closedcaptions_00h21m41s120ms-00h21m44s640ms.ogg]	2.4
"<img src=""6ixtynin9 The Series_S01E03_Episode 3.th.closedcaptions_00h30m18s800ms-00h30m23s360ms.avif"">"	อ๋อ แฟนหนูเองน่ะพี่ - พอดีนางอยู่ต่างจังหวัดน่ะ นานๆ ทีเจอกัน	ɔ̌ɔ fɛɛn nǔu eeng nâ phîi - phɔɔ dii naang yùu tàang jang-wàt nâ naan naan thii jəə gan	My boyfriend. Lives in another province. - We only see each other once in a while.	พอดี (phɔɔ dii): "It happens that". Coincidental situation.		[sound:6ixtynin9 The Series_S01E03_Episode 3.th.closedcaptions_00h30m18s800ms-00h30m23s360ms.ogg]	2.4
"<img src=""Hormones_S02E05_Episode 5.th.closedcaptions_00h16m53s600ms-00h16m57s160ms.avif"">"	[บอม] สามเหลี่ยมอันที่สามนี้ - เข้ากันได้พอดีเป๊ะเลย รู้ไหม	[bɔɔm] sǎam lìam an thîi sǎam níi - khâo gan dâai phɔɔ dii pé ləəi rúu mǎi	This triangle was the perfect size - and it fit just right.	พอดีเป๊ะ (phɔɔ dii pé): "Perfect fit". Exact match emphasis.	สามเหลี่ยม (sǎam lìam): triangle	[sound:Hormones_S02E05_Episode 5.th.closedcaptions_00h16m53s600ms-00h16m57s160ms.ogg]	2.4
"<img src=""Miss Culinary_S01E03_Episode 3.th.subtitles_00h20m00s480ms-00h20m03s400ms.avif"">"	รีบๆ พูดมาเถอะ ประเดี๋ยวก็ไม่ทัน - รถเมล์กลับบ้านกันพอดี	rîip rîip phûut maa thə̀ pra-dǐao gɔ̂ɔ mâi than - rót mee glàp bâan gan phɔɔ dii	Just say it. I have to catch a bus home. - All right.	พอดี timing: "Just in time to". Timing alignment.	รถเมล์ (rót mee): bus	[sound:Miss Culinary_S01E03_Episode 3.th.subtitles_00h20m00s480ms-00h20m03s400ms.ogg]	2.4
"<img src=""The Billionaire 2011.th.closedcaptions_01h11m00s520ms-01h11m02s440ms.avif"">"	- ร้อยหกสิบบาท เอ้า พอดีนะครับ - - [ลูกค้า 4] พอดีนะ	- rɔ́ɔi hòk sìp bàat âo phɔɔ dii ná khráp - - [lûuk kháa sìi] phɔɔ dii ná	-That'll be 160 baht. No change needed. - -Yes.	พอดี money: "Exact amount". No change needed.		[sound:The Billionaire 2011.th.closedcaptions_01h11m00s520ms-01h11m02s440ms.ogg]	2.4
"<img src=""Let's Fight Ghost_S01E06_Episode 6.th.closedcaptions_00h28m29s600ms-00h28m31s480ms.avif"">"	- [น้ำหวาน] พอดีไหม - - ครับ พอดีครับ	- [náam wǎan] phɔɔ dii mǎi - - khráp phɔɔ dii khráp	-Does it fit well? - -Yes, it's perfect.	พอดี fit: "Fits perfectly". Exact size match.		[sound:Let's Fight Ghost_S01E06_Episode 6.th.closedcaptions_00h28m29s600ms-00h28m31s480ms.ogg]	2.4
"<img src=""To the Moon and Back_S01E03_Episode 3.th.closedcaptions_00h08m09s520ms-00h08m12s200ms.avif"">"	[ทำเสียงห้าว] - เอ่อ อือ พอดี	[tham sǐang hâao] - ə̀ə ɯɯ phɔɔ dii	I… - I forgot to submit my work.	พอดี excuse: "It happened that". Introducing excuse/explanation.		[sound:To the Moon and Back_S01E03_Episode 3.th.closedcaptions_00h08m09s520ms-00h08m12s200ms.ogg]	2.4
"<img src=""Love Destiny_S01E11_Episode 11.th.subtitles_00h36m48s720ms-00h36m52s680ms.avif"">"	ขบวนเรือทูตของฝรั่งเศสจะมาถึง - ปากอ่าวอีกไม่เกินเจ็ดวันพุทธเจ้าข้า	khà-buan rɯa thûut khɔ̌ɔng fà-ràng-sèet jà maa thɯ̌ng - pàak àao ìik mâi gəən jèt wan phút-thá-jâo khâa	The envoy fleet will reach our bay - within seven days, Your Majesty.	ไม่เกิน (mâi gəən): "Not exceeding/within". Maximum limit.	ขบวนเรือ (khà-buan rɯa): fleet; ทูต (thûut): envoy	[sound:Love Destiny_S01E11_Episode 11.th.subtitles_00h36m48s720ms-00h36m52s680ms.ogg]	2.4
"<img src=""Oh My Ghost_S01E09_Episode 9.th.closedcaptions_01h05m35s925ms-01h05m39s605ms.avif"">"	แต่เอาเป็นว่าต่อจากนี้คุณห้ามอยู่ - ห่างผมเกินสองเมตร เข้าใจมั้ย	tɛ̀ɛ ao pen wâa tɔ̀ɔ jàak níi khun hâam yùu - hàang phǒm gəən sɔ̌ɔng méet khâo jai mái	But from now on, you must be no more - than six feet away from me. Got it?	เกิน distance: "More than/exceed". Setting maximum distance.		[sound:Oh My Ghost_S01E09_Episode 9.th.closedcaptions_01h05m35s925ms-01h05m39s605ms.ogg]	2.4
"<img src=""The Bride of Naga_S01E01_Episode 1.th.closedcaptions_00h18m58s600ms-00h19m02s760ms.avif"">"	อืม เดี๋ยวฉันเร่งให้แล้วกันนะ - คิดว่าไม่น่าจะเกินวันพรุ่งนี้	ɯɯm dǐao chǎn rêng hâi lɛ́ɛo gan ná - khít wâa mâi nâa jà gəən wan phrûng níi	I'll make them a priority. - Shouldn't be longer than tomorrow.	ไม่น่าจะเกิน: "Shouldn't exceed". Predicting maximum time.	เร่ง (rêng): rush/expedite	[sound:The Bride of Naga_S01E01_Episode 1.th.closedcaptions_00h18m58s600ms-00h19m02s760ms.ogg]	2.4
"<img src=""To the Moon and Back_S01E12_Episode 12.th.closedcaptions_00h40m36s760ms-00h40m39s560ms.avif"">"	เขาคงไปไม่เกินสัปดาห์หรอกค่ะ - สองสามวันก็คงกลับแล้วแหละ	khǎo khong pai mâi gəən sàp-daa rɔ̀ɔk khâ - sɔ̌ɔng sǎam wan gɔ̂ɔ khong glàp lɛ́ɛo lɛ̀	They won't be gone for more than a week. - They will be back in a few days.	ไม่เกินสัปดาห์: "Not more than a week". Time limit assurance.	สัปดาห์ (sàp-daa): week	[sound:To the Moon and Back_S01E12_Episode 12.th.closedcaptions_00h40m36s760ms-00h40m39s560ms.ogg]	2.4
"<img src=""Oh My Ghost_S01E09_Episode 9.th.closedcaptions_01h05m53s445ms-01h05m57s685ms.avif"">"	ห้ามอยู่ห่างเกินหนึ่งเมตร - ก็ต้องแนบแน่นแบบนี้ใช่มั้ย	hâam yùu hàang gəən nɯ̀ng méet - gɔ̂ɔ tɔ̂ŋ nɛ̂ɛp nɛ̂n bɛ̀ɛp níi châi mái	No further than three feet. - So we'll be this close?	ห่างเกิน: "Further than". Proximity limit interpretation.	แนบแน่น (nɛ̂ɛp nɛ̂n): close together	[sound:Oh My Ghost_S01E09_Episode 9.th.closedcaptions_01h05m53s445ms-01h05m57s685ms.ogg]	2.4
"<img src=""Bad Guys_S01E03_Episode 3.th.closedcaptions_00h42m59s880ms-00h43m03s400ms.avif"">"	คนเราแม่งอายุมันสั้น - มึงอยู่อย่างเก่งก็ไม่เกินร้อยปี	khon rao mɛ̂ɛng aa-yú man sân - mɯng yùu yàang gèng gɔ̂ɔ mâi gəən rɔ́ɔi pii	Listen to me. Our lives are short. - None of us will live up to a century	ไม่เกินร้อยปี: "Not beyond 100 years". Maximum lifespan.	อย่างเก่ง (yàang gèng): at best	[sound:Bad Guys_S01E03_Episode 3.th.closedcaptions_00h42m59s880ms-00h43m03s400ms.ogg]	2.4
"<img src=""6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h18m42s160ms-00h18m44s920ms.avif"">"	ไม่เกินสองเดือนก็เลิกครับ - ไอ้ทอมนั่นน่ะเสือผู้หญิง	mâi gəən sɔ̌ɔng dɯan gɔ̂ɔ lə̂ək khráp - âi thɔɔm nân nâ sɯ̌a phûu yǐng	They'll break up in two months. - That tomboy is a playboy.	ไม่เกิน time period: "Within". Maximum duration prediction.	เสือผู้หญิง (sɯ̌a phûu yǐng): womanizer	[sound:6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h18m42s160ms-00h18m44s920ms.ogg]	2.4
"<img src=""Love Destiny_S02E18_Episode 18.th.closedcaptions_01h11m04s600ms-01h11m07s840ms.avif"">"	จักมีแขกมาจากอยุธยา - อีกไม่เกินเจ็ดวันนะแม่เรียม	jàk mii khɛ̀ɛk maa jàak a-yút-thá-yaa - ìik mâi gəən jèt wan ná mɛ̂ɛ riam	Guests from Ayutthaya will arrive - within a week, Riem.	อีกไม่เกิน: "In no more than". Future time limit.	อยุธยา (a-yút-thá-yaa): Ayutthaya	[sound:Love Destiny_S02E18_Episode 18.th.closedcaptions_01h11m04s600ms-01h11m07s840ms.ogg]	2.4
"<img src=""Bad Guys_S01E02_Episode 2.th.closedcaptions_00h30m40s560ms-00h30m44s160ms.avif"">"	นี่ ไม่เกินสามวันน่ะ - ไอ้เหี้ยนั่นน่ะโดนจับแน่	nîi mâi gəən sǎam wan nâ - âi hîa nân nâ doon jàp nɛ̂ɛ	Listen. Give me three days. - I'll have that bastard.	ไม่เกินสามวัน: "Within three days". Time promise/deadline.		[sound:Bad Guys_S01E02_Episode 2.th.closedcaptions_00h30m40s560ms-00h30m44s160ms.ogg]	2.4
"<img src=""Remember You_S01E15_Brothers.th.closedcaptions_00h36m56s400ms-00h36m59s440ms.avif"">"	แต่ถ้าให้เดาเนี่ย ก็ไม่น่าจบเกินเที่ยงคืนหรอก	tɛ̀ɛ thâa hâi dao nîa gɔ̂ɔ mâi nâa jòp gəən thîang khɯɯn rɔ̀ɔk	If I have to guess, - everything will end before midnight.	ไม่น่าจบเกิน: "Unlikely to end after". Time limit prediction.	เที่ยงคืน (thîang khɯɯn): midnight	[sound:Remember You_S01E15_Brothers.th.closedcaptions_00h36m56s400ms-00h36m59s440ms.ogg]	2.4
"<img src=""Bad Guys_S01E09_Episode 9.th.closedcaptions_00h26m08s200ms-00h26m09s920ms.avif"">"	[เสียงชกหน้า] - มึง รู้จักกูน้อยเกินไปแล้ว	[sǐang chók nâa] - mɯng rúu jàk guu nɔ́i gəən pai lɛ́ɛo	Do you know who I am?	น้อยเกินไป (nɔ́i gəən pai): "Too little". Insufficient knowledge/understanding.		[sound:Bad Guys_S01E09_Episode 9.th.closedcaptions_00h26m08s200ms-00h26m09s920ms.ogg]	2.4
"<img src=""Remember You_S01E12_Family Reunion.th.closedcaptions_00h44m43s200ms-00h44m45s960ms.avif"">"	แรงจูงใจในการฆ่า มีน้อยเกินไปครับ	rɛɛng juung jai nai gaan khâa mii nɔ́i gəən pai khráp	The motive for the murder is too weak.	มีน้อยเกินไป: "Has too little". Insufficient motive strength.	แรงจูงใจ (rɛɛng juung jai): motive	[sound:Remember You_S01E12_Family Reunion.th.closedcaptions_00h44m43s200ms-00h44m45s960ms.ogg]	2.4
"<img src=""Oh My Ghost_S01E09_Episode 9.th.closedcaptions_00h58m06s605ms-00h58m11s085ms.avif"">"	ถ้าผู้ชายคนนั้นเขาไม่ใช่ผู้ชายหน้าปลวกจนเกินไป - จนขาดความมั่นใจในตัวเอง	thâa phûu chaai khon nán khǎo mâi châi phûu chaai nâa plùak jon gəən pai - jon khàat khwaam mân jai nai tua eeng	If that guy isn't so ugly - that he lacks self-confidence,	จนเกินไป จนขาด: "So excessive that lacking". Extreme leading to deficiency.	หน้าปลวก (nâa plùak): ugly face; ขาดความมั่นใจ (khàat khwaam mân jai): lack confidence	[sound:Oh My Ghost_S01E09_Episode 9.th.closedcaptions_00h58m06s605ms-00h58m11s085ms.ogg]	2.4
"<img src=""The Bride of Naga_S01E02_Episode 2.th.closedcaptions_00h51m12s280ms-00h51m18s160ms.avif"">"	แต่สิ่งที่ทําให้เจ้าแพ้อนันตชัยคือ - เจ้าขาดซึ่งธรรมะที่ผู้ปกครองพึงมี	tɛ̀ɛ sìng thîi tham hâi jâo phɛ́ɛ a-nan-tá-chai khɯɯ - jâo khàat sɯ̂ng tham-má thîi phûu pòk-khrɔɔng phɯng mii	But what made you lose to Anantachai was - your lack of virtue as a ruler,	ขาดซึ่ง (khàat sɯ̂ng): "Lacking in". Formal deficiency expression.	ธรรมะ (tham-má): dharma/virtue; ผู้ปกครอง (phûu pòk-khrɔɔng): ruler	[sound:The Bride of Naga_S01E02_Episode 2.th.closedcaptions_00h51m12s280ms-00h51m18s160ms.ogg]	2.4
"<img src=""The Bride of Naga_S01E05_Episode 5.th.closedcaptions_00h15m27s440ms-00h15m32s320ms.avif"">"	ฉันเตรียมทุกอย่างไว้ให้แล้ว - ถ้าขาดเหลืออะไรก็บอกได้เลยค่ะ	chǎn trii-am thúk yàang wái hâi lɛ́ɛo - thâa khàat lɯ̌a a-rai gɔ̂ɔ bɔ̀ɔk dâai ləəi khâ	I've prepared everything for you. - Let me know if you'd like anything else.	ขาดเหลือ (khàat lɯ̌a): "Lacking/missing". Need for additional items.		[sound:The Bride of Naga_S01E05_Episode 5.th.closedcaptions_00h15m27s440ms-00h15m32s320ms.ogg]	2.4
"<img src=""Bangkok Breaking_S01E03_Episode 3.th.subtitles_00h08m48s333ms-00h08m52s041ms.avif"">"	ก่อนที่สมองของผู้ป่วยจะขาดเลือด - เราต้องช่วยเขาให้ทัน	gɔ̀ɔn thîi sà-mɔ̌ɔng khɔ̌ɔng phûu pùai jà khàat lɯ̂at - rao tɔ̂ŋ chûai khǎo hâi than	before the patient suffers a cerebral - infarction. We must save them in time.	ขาดเลือด (khàat lɯ̂at): "Lack blood". Medical insufficiency.	สมอง (sà-mɔ̌ɔng): brain	[sound:Bangkok Breaking_S01E03_Episode 3.th.subtitles_00h08m48s333ms-00h08m52s041ms.ogg]	2.4
"<img src=""Remember You_S01E02_Friendly Reunion.th.closedcaptions_00h39m23s440ms-00h39m28s040ms.avif"">"	เหยื่อทั้งคู่ถูกฆ่าโดยการรัดคอ - ทำให้ขาดอากาศหายใจ	yɯ̂a tháng khûu thùuk khâa dooi gaan rát khɔɔ - tham hâi khàat aa-gàat hǎai jai	both victims were killed - by strangulation and suffocation,	ขาดอากาศ (khàat aa-gàat): "Lack air". Suffocation/asphyxiation.	รัดคอ (rát khɔɔ): strangle	[sound:Remember You_S01E02_Friendly Reunion.th.closedcaptions_00h39m23s440ms-00h39m28s040ms.ogg]	2.4
"<img src=""Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h08m53s925ms-00h08m56s285ms.avif"">"	จะเสร็จยังเนี่ยไอ้จิ๋ว - หิวไส้จะขาดอยู่แล้วเนี่ย	jà sèt yang nîa âi jǐu - hǐu sâi jà khàat yùu lɛ́ɛo nîa	Are you done yet, Jiw? I'm starving!	ไส้จะขาด (sâi jà khàat): "Intestines will break". Extreme hunger expression.	หิว (hǐu): hungry; ไส้ (sâi): intestines	[sound:Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h08m53s925ms-00h08m56s285ms.ogg]	2.4
"<img src=""Bad Genius 2017 - H264 AAC.th.closedcaptions_00h15m17s750ms-00h15m21s125ms.avif"">"	[พัฒน์] เกรซชอบชมให้เราฟังบ่อยๆ นะ - ว่าลินเรียนเก่งอย่างโน้นอย่างนี้	[phát] grèet chɔ̂ɔp chom hâi rao fang bɔ̀i bɔ̀i ná - wâa lin rian gèng yàang nóon yàang níi	Grace always tells us - that you're so smart.	บ่อยๆ (bɔ̀i bɔ̀i): "Often/frequently". Reduplicated form for emphasis.	ชม (chom): praise	[sound:Bad Genius 2017 - H264 AAC.th.closedcaptions_00h15m17s750ms-00h15m21s125ms.ogg]	2.5
"<img src=""Tunnel_S01E04_Episode 4.th.subtitles_00h39m46s680ms-00h39m50s360ms.avif"">"	ครับ ครูประจำชั้นกับเพื่อนของธันวา - บอกว่าเขาโดดเรียนบ่อยมากครับ	khráp khruu pra-jam chán gàp phɯ̂an khɔ̌ɔng than-waa - bɔ̀ɔk wâa khǎo dòot rian bɔ̀i mâak khráp	All right, Thanwa's homeroom teacher - and friends said he skipped class often,	บ่อยมาก (bɔ̀i mâak): "Very often". High frequency emphasis.	โดดเรียน (dòot rian): skip class	[sound:Tunnel_S01E04_Episode 4.th.subtitles_00h39m46s680ms-00h39m50s360ms.ogg]	2.5
"<img src=""To the Moon and Back_S01E09_Episode 9.th.closedcaptions_00h02m34s320ms-00h02m37s960ms.avif"">"	แกไปบ้านเขาบ่อยๆ แบบนั้นเนี่ยนะ - เกิดแฟนเขาเข้าใจผิดขึ้นมา	gɛɛ pai bâan khǎo bɔ̀i bɔ̀i bɛ̀ɛp nán nîa ná - gə̀ət fɛɛn khǎo khâo jai phìt khɯ̂n maa	One would call me his fiancée. - What are you going to do - if his girlfriend doesn't understand - your situation with Penneung?	บ่อยๆ แบบนั้น: "Often like that". Frequency causing misunderstanding.		[sound:To the Moon and Back_S01E09_Episode 9.th.closedcaptions_00h02m34s320ms-00h02m37s960ms.ogg]	2.5
"<img src=""Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h40m27s325ms-00h40m30s605ms.avif"">"	เวลาแก้วเศร้านี่ - แก้วชอบมาดูพระอาทิตย์ขึ้นบ่อยๆ เลยค่ะ	wee-laa gɛ̂ɛo sâo nîi - gɛ̂ɛo chɔ̂ɔp maa duu phrá aa-thít khɯ̂n bɔ̀i bɔ̀i ləəi khâ	When I'm feeling sad, - I like to watch the sun rise.	ชอบ...บ่อยๆ (chɔ̂ɔp...bɔ̀i bɔ̀i): "Like to often". Habitual preference.		[sound:Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h40m27s325ms-00h40m30s605ms.ogg]	2.5
"<img src=""I Need Romance_S01E13_Episode 13.th.closedcaptions_00h34m05s960ms-00h34m08s639ms.avif"">"	ทำบ่อยๆ จะได้รู้ว่าตัวเอง - ชอบอะไรหรือไม่ชอบอะไรมากขึ้น	tham bɔ̀i bɔ̀i jà dâai rúu wâa tua eeng - chɔ̂ɔp a-rai rɯ̌ɯ mâi chɔ̂ɔp a-rai mâak khɯ̂n	so you know better - what you like and don't like.	ทำบ่อยๆ: "Do often". Regular practice leading to understanding.		[sound:I Need Romance_S01E13_Episode 13.th.closedcaptions_00h34m05s960ms-00h34m08s639ms.ogg]	2.5
"<img src=""Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h28m43s925ms-00h28m47s365ms.avif"">"	ฉันรู้นะว่าแกชอบเขียนบิล - เบิกเงินค่ารถเกินบ่อยๆ อ่ะ	chǎn rúu ná wâa gɛɛ chɔ̂ɔp khǐan bin - bə̀ək ngəən khâa rót gəən bɔ̀i bɔ̀i à	I know you're always over-reimbursing - your fuel expense.	เกินบ่อยๆ: "Exceed often". Repeated overcharging.	เบิกเงิน (bə̀ək ngəən): reimburse	[sound:Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h28m43s925ms-00h28m47s365ms.ogg]	2.5
"<img src=""Bad Genius_ The Series_S01E01_Episode 1.th.subtitles_00h21m36s040ms-00h21m39s200ms.avif"">"	งั้นวันหลัง เบ๊บก็ชวนลิน - มากินข้าวที่บ้านบ่อยๆ เนอะ	ngán wan lǎng béep gɔ̂ɔ chuan lin - maa gin khâao thîi bâan bɔ̀i bɔ̀i nə́	Babe, you should invite Lin over - to eat with us more often.	มา...บ่อยๆ: "Come often". Invitation for regular visits.		[sound:Bad Genius_ The Series_S01E01_Episode 1.th.subtitles_00h21m36s040ms-00h21m39s200ms.ogg]	2.5
"<img src=""Bangkok Buddies_S01E04_Episode 4.th.subtitles_00h23m02s000ms-00h23m05s760ms.avif"">"	บ่อยค่ะ ฉันชอบร้านนี้ - เพราะว่าเขาเป็นระดับมิชลิน	bɔ̀i khâ chǎn chɔ̂ɔp ráan níi - phrɔ́ wâa khǎo pen rá-dàp mít-chi-lin	Yes, I like this place - because it's a Michelin star restaurant. - What?	บ่อย as answer: "Often" confirming frequency of visits.	มิชลิน (mít-chi-lin): Michelin	[sound:Bangkok Buddies_S01E04_Episode 4.th.subtitles_00h23m02s000ms-00h23m05s760ms.ogg]	2.5
"<img src=""To the Moon and Back_S01E18_Episode 18.th.closedcaptions_00h51m50s640ms-00h51m54s560ms.avif"">"	ไม่ต้องห่วงนะคะ มาตาช่วยน้าวีหั่นผักบ่อยๆ ค่ะ	mâi tɔ̂ŋ hùang ná khá maa-taa chûai náa wii hàn phàk bɔ̀i bɔ̀i khâ	Don't worry. I help Auntie Vee - chop the vegetables all the time.	ช่วย...บ่อยๆ: "Help often". Regular assistance habit.	หั่นผัก (hàn phàk): chop vegetables	[sound:To the Moon and Back_S01E18_Episode 18.th.closedcaptions_00h51m50s640ms-00h51m54s560ms.ogg]	2.5
"<img src=""Oh My Ghost_S01E12_Episode 12.th.closedcaptions_00h03m33s845ms-00h03m36s085ms.avif"">"	เดี๋ยวเราไปด้วยกันบ่อยๆ เดี๋ยวคนอื่นเขาสงสัย	dǐao rao pai dûai gan bɔ̀i bɔ̀i dǐao khon ɯ̀ɯn khǎo sǒng-sǎi	If we go together often, - it'll look suspicious.	ไปด้วยกันบ่อยๆ: "Go together often". Frequency raising suspicion.	สงสัย (sǒng-sǎi): suspect	[sound:Oh My Ghost_S01E12_Episode 12.th.closedcaptions_00h03m33s845ms-00h03m36s085ms.ogg]	2.5
"<img src=""Remember You_S01E10_Love Confession.th.closedcaptions_00h47m33s160ms-00h47m35s040ms.avif"">"	ต่อไปนี้พวกเราสามคน - มาเจอกันบ่อยๆ ได้ไหมครับ	tɔ̀ɔ pai níi phûak rao sǎam khon - maa jəə gan bɔ̀i bɔ̀i dâai mǎi khráp	Can we meet up more often from now on?	เจอกันบ่อยๆ: "Meet often". Request for regular meetings.		[sound:Remember You_S01E10_Love Confession.th.closedcaptions_00h47m33s160ms-00h47m35s040ms.ogg]	2.5
"<img src=""To the Moon and Back_S01E05_Episode 5.th.closedcaptions_00h15m52s760ms-00h15m55s240ms.avif"">"	ปล่อยเพื่อนกินข้าวกันเองสองคนบ่อยๆ แบบนี้	plɔ̀i phɯ̂an gin khâao gan eeng sɔ̌ɔng khon bɔ̀i bɔ̀i bɛ̀ɛp níi	Letting your two friends - have lunch together.	บ่อยๆ แบบนี้: "Often like this". Pattern of frequency.		[sound:To the Moon and Back_S01E05_Episode 5.th.closedcaptions_00h15m52s760ms-00h15m55s240ms.ogg]	2.5
